#,id,canonical_key,kind,condition_norm,then_norm,else_norm,has_else,occurrences,min_complexity,max_complexity,avg_complexity
536,534,2f153daa2f4b55334e87c0d26862376e1c02492c743a10004e6fdc505a85c5fc,IF,DB3 = DD1,PERFORM G,PERFORM B,TRUE,6,1,1,1
537,535,16ce029d25d1629caab87ebb2d34791cca7bf87ea323bf804cc18110d18ada81,IF,IN-COMMAND = <S>,MOVE TRAN-CODE TO MODNAME,,FALSE,2,1,1,1
538,536,bec9532cfd89a333961641e6b11d96e6d58f46b2d24e3337524b6dace30dfd97,IF,CURSOR-FETCHED,DISPLAY <S> WS-CURSOR-SWITCH EXEC_BLOCK_STUB,DISPLAY <S> WS-CURSOR-SWITCH IF DELETED AND CURSOR-NOT-FETCHED EXEC_BLOCK_STUB END-IF DISPLAY <S> IF SQLCODE NOT EQUAL TO <N> MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY <S> WS-DISPLAY-SQLCODE END-IF,TRUE,1,2,2,2
539,537,22557ad30a96892866ad2ca41540686fefcb4f69cbd0a0d49cc3e2151f25d09e,IF,IS-VALID-INIT-PROGRAM AND IS-VALID-INIT-USER AND IS-VALID-INIT-MAGIC,SET IS-VALID-INIT TO TRUE OPEN OUTPUT FILEOUT,,FALSE,1,3,3,3
540,538,7cfcaa840b5163b7b35f7d60cb7983c64b056c0ac9b93d4fb1f4a0ba1ad04f18,IF,SW-SUM = <N>,MOVE <S> TO WS-SUM-RESULT-X,MOVE <S> TO WS-SUM-RESULT-X,TRUE,2,1,1,1
541,539,ea47cd13f62d8547afb493f7690999c69360ad294f6289504e53975e1713b0ac,EVALUATE,OTHER,PERFORM 1010-COPY-COMMAREA MOVE <S> TO MESSAGEOUT PERFORM 1050-SEND-MAP,,FALSE,1,2,2,2
542,540,cfe2d2500d40ac99dd4ee50550b8833b02a122cbecec65252e45a78503a8c4fa,IF,CMD = <S> OR <S>,PERFORM ADD-RECORD,IF CMD IS EQUAL TO <S> OR <S> PERFORM REMOVE-RECORD ELSE IF CMD IS EQUAL TO <S> OR <S> PERFORM UPDATE-RECORD ELSE IF CMD IS EQUAL TO <S> OR <S> PERFORM LIST-RECORDS ELSE IF CMD IS EQUAL TO <S> OR <S> PERFORM DISPLAY-RECORD ELSE IF CMD IS EQUAL TO <S> OR <S> MOVE <S> TO CMD ELSE DISPLAY MSG-COMMAND-NOT-FOUND,TRUE,1,4,4,4
543,541,9f5553f5724d16237549d688f59c1c2c52818b2ed01cc5149fcb5fd1641b0853,EVALUATE,RESP-CODE = DFHRESP,GO TO WBXFER-SIGNAL-RECV,,FALSE,1,1,1,1
544,542,822b75c2f0a61ede150d0f7c4186071ec5181df69792aed0cfadc799717c2bbd,EVALUATE,WS-STATE = <S>,MOVE WS-COLOR-BLACK TO WS-FG MOVE WS-COLOR-BLACK TO WS-FG-CELL MOVE WS-COLOR-BLUE TO WS-BG,,FALSE,1,2,2,2
545,543,15e2d82e2f8c8b1cc04f3ab4b5377539dcf6288d1970fedb73af94ca3245fb7f,IF,RETURN-CODE = NC-RET-OK,PERFORM 6200-RPT-DATA IF WS-EXPECTED-RET-CODE = NC-RET-OK THEN PERFORM 6300-CMP-DATA IF WS-DATA-CMP-MATCHED THEN PERFORM 6100-PASSED ELSE PERFORM 6100-FAILED END-IF IF WS-OUT-DATA-LENGTH NOT = WS-IN-DATA-LENGTH DISPLAY <S> WS-OUT-DATA-LENGTH <S> WS-IN-DATA-LENGTH PERFORM 6100-FAILED ELSE DISPLAY <S> WS-OUT-DATA-LENGTH <S> PERFORM 6100-PASSED END-IF END-IF,,FALSE,1,3,3,3
546,544,96e70bcb9e2b529060ede18c426441c95ee72d5efbf125379eaf611a8e4d391e,IF,EH1 = P1,PERFORM GOOD,PERFORM BAD,TRUE,18,1,1,1
547,545,468840a7226b4cac653fbaaa839ea7d1f19b79c7024a49942e81b14b0520a821,IF,Q3 = LH1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
548,546,d799fe776c7527d58a0b9063283298f0b4ad383adafc5fcfb05125b83eccf187,IF,FS-DAT-EOF,MOVE <S> TO LXG-STATUS,,FALSE,1,1,1,1
549,547,63b5f2908794202c38bbd3c01172a506b34074ac759c36fd378cdabc87ca0d53,IF,LB3 = F1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
550,548,6f6b1b7d043cf73cd7e3e565c4b1ac6904062da594cb1b03f202ddb400460e56,IF,Q3 = DD1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
551,549,7ead9be3cf6f40cfc6d6771db0d610ce8575a5e34a0c4a446061e6d5304d6336,IF,EIBRESP = DFHRESP,PERFORM 3110-REWRITE THRU 3110-EXIT,,FALSE,1,1,1,1
552,550,afb9c67312b5f8423afeb16c31f8f209e0c720698529869db5e62d69384458f6,EVALUATE,SQLCODE = <N>,IF WS-COUNTER > <N> MOVE <S> TO CA-RETURN-CODE ELSE MOVE <S> TO CA-RETURN-CODE END-IF,,FALSE,1,1,1,1
553,551,457a6dcc76bc1b9d1fd12154335ab67e1c0dd03d0a4eba33e0660bd6438e84d1,IF,WN-USER-PROGRAM = WN-PROGRAM-ID,MOVE WN-GRADE-GRADE-ID TO FC-TMP-USER-GRADE-ID MOVE WC-GRADE-GRADE TO FC-TMP-USER-GRADE MOVE WC-GRADE-COMMENT TO FC-TMP-USER-GRADE-COMMENT MOVE WN-GRADE-COURSE-ID TO FC-TMP-COURSE-ID MOVE WN-USER-ID TO FC-TMP-USER-ID MOVE WN-USER-PROGRAM TO FC-TMP-PROGRAM-ID WRITE FD-TMPFILE-POST,,FALSE,1,3,3,3
554,552,99762bf9ace429618b30c619fdeeac7f0763a1b183ea9442ee99706140dea81c,IF,ED1 = Q1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
555,553,d37ba759e4325fad95360e136f6f6b64e8820b7e3633940970526f92b817e2c8,IF,Z1 = DB1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
556,554,c7ed9d59fdbf6efa9d204542dffce726560fb0915796e390bbcfa44e133650f5,IF,CA-MODEL-OUTPUT NOT = <S>,MOVE CA-MODEL-OUTPUT TO OUTPUTMESSAGE2,,FALSE,1,2,2,2
557,555,7b40cc1b080cef2ba40877b1c3935a34f317eca8015a5b786cd7e1c65456a95f,EVALUATE,ACCOUNT-TYPE-CODE = <S>,MOVE ACCOUNT-SAV-DETAIL-ITEMS TO TXN-ITEM-NUM ITEM-NUM OF TXN-REC-KEY,,FALSE,1,1,1,1
558,556,9a96bea43f6726c4b174c1dc351c2580d05d2265ec7985d8dc97ad0e0347a42f,IF,LB3 = P1,PERFORM G,PERFORM B,TRUE,6,1,1,1
559,557,ad3b11507d63e3cd97fadae4c78df92fc9f44fec5cc717c5d30bf4e1ec9c1dfe,IF,H3 = H1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
560,558,915953cdfdf1513a7db347759d3a4092f3a056686f5e2fb3b6802a339d8199b5,IF,WS-RECURSION-FLAG = <S>,MOVE <S> TO WS-RECURSION-FLAG CALL <S> USING WS-RECURSION-FLAG,,FALSE,1,1,1,1
561,561,0499cd845ad7fc9b50bec316257cbc68cee2d21733f7e21d5bc2ff6be2f657b0,IF,OPT-H,PERFORM 8900-DISPLAY-USAGE,IF CMD-RETURN-CODE = <ZERO> THEN PERFORM 5000-PROCESS END-IF,TRUE,1,1,1,1
562,562,8dcbd0513d54a4f70ecc87dddfaead614aaacd352fade2e98a01fbdc9efe6654,IF,IN-COMMAND = <SPACE>,MOVE SPA-COMMAND TO IO-COMMAND,MOVE IN-COMMAND TO IO-COMMAND,TRUE,2,1,1,1
563,563,b5ef870e702f284cd49fe8650d627c152edbe1a0fd2bc2196cae6bf669793796,EVALUATE,CA-REQUEST-ID = <S>,ADD WS-FULL-ENDOW-LEN TO WS-REQUIRED-CA-LEN MOVE <S> TO DB2-POLICYTYPE,,FALSE,1,1,1,1
564,564,5db38fb4231f916a28c2b528c18b9939b2b562e493bd60ea01a2b75ace2839e8,IF,FS-TAB-OK OR FS-TAB-AOF,MOVE <S> TO ISOPEN,CONTINUE,TRUE,1,2,2,2
565,565,6cdea9dfd62c2a178b70104fe3ea67ca88c6e19d061f713f1c57db8d1c53c2ac,IF,LB3 = G1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
566,566,e23a3e8aebdaf17a265efc939891e5d1dbe8438c2f13946baadb59427969727e,IF,DD1 = EH1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
567,567,4da1f75deeb3431cb2ecd7e1d49e50d0c6af9c35abd86087ec02742f4d9bfd69,IF,EIBAID = DFHCLEAR,GO TO ALLDONE,GO TO KEYPRES1,TRUE,1,1,1,1
568,568,0a272404d176480bbd6482397e0d731a5bf0f99dd505dadb2aa1ec7a4ae370dc,IF,WS-INSTANCE-X >= WS-FIRST-INSTANCE AND WS-INSTANCE-X <= WS-LAST-INSTANCE,MOVE WS-INSTANCE-ID-NO TO WS-INSTANCE,MOVE WS-INSTANCE-X TO WS-INSTANCE,TRUE,1,2,2,2
569,569,995098a8d65132649924fcc3983497a75459f9c5a81f39ee85dc2390a89814d4,IF,CA-VISIT-TIME = <SPACE>,MOVE <S> TO CA-VISIT-TIME,,FALSE,1,1,1,1
570,570,03834b849168faac146456e89915ef5440807b7acffcfc9fe7a72cfa96daa413,IF,IN-ACCOUNT-NUMBER = <S>,SET VISA-CARD TO TRUE PERFORM 2290-POPULATE-MESSAGE,IF IN-ACCOUNT-NUMBER = <S> OR IN-ACCOUNT-NUMBER = <S> SET DINERS-CLUB-CARD TO TRUE PERFORM 2290-POPULATE-MESSAGE ELSE PERFORM 2290-POPULATE-MESSAGE,TRUE,1,1,1,1
571,571,2c3d25142ac0c1947946c0577effcd1b17af5753264d5d57ddf6af8eebf91efc,EVALUATE,RESP-CODE = DFHRESP,MOVE <N> TO RET-CODE,,FALSE,3,1,1,1
572,572,0b89068d041714b3b1bf6f418be8cd37bb80ee222b61e184d7152da4a697307d,EVALUATE,OTHER,CONTINUE,,FALSE,1,1,1,1
573,573,e7ab903c1d6b77dd6828f6fcd4ce4ec330a6f025499ee7598895daf5769ce804,IF,CA-MAKE NOT = <S>,MOVE TEMP-INDEX TO NUMMAKE MOVE CA-MAKE TO VALIDMAKE,,FALSE,1,2,2,2
574,574,a8f97a412c6aa87729976821c1c1e158aec5f1b24fe3c1635ccb5435d060059f,EVALUATE,RESP-CODE = DFHRESP,GO TO UPDATE-CUST-NOTFND,,FALSE,4,1,1,1
575,575,3f9c7a6b1ede74cae281a3b35cf4afc471fac6e4ced05a3d3c64373f9fb606d5,IF,WEB-HTTPMETHOD = WEB-HTTP-GET,MOVE <S> TO USER-ACCESS,,FALSE,1,1,1,1
576,576,bae05f923b084798d9c46beb0842d5e26ba549e1e97ee5bd9375d9de51555cd7,IF,NOT OPT-VALID,DISPLAY <S> OPT-CURRENT MOVE <N> TO CMD-RETURN-CODE,IF OPT-ARG-INVALID THEN DISPLAY <S> <S> OPT-CURRENT <S> MOVE <N> TO CMD-RETURN-CODE END-IF,TRUE,1,1,1,1
577,577,efbe6572dde23a28625b3b877fb7e830753752d3a7f3b9f8a348550618abc66e,IF,HUMAN-PLAYER,MOVE <S> TO WS-MOVE-OUTCOME,MOVE <S> TO WS-MOVE-OUTCOME,TRUE,1,1,1,1
578,578,97940b74e5e32960041db0d2ac6d1bf8d70f26c7aa1874abb7c11d53125468a9,IF,CISTATEL = <N> OR CISTATEI = <SPACE>,MOVE <S> TO CIMSG1O MOVE <SPACE> TO CIMSG2O MOVE <N> TO RET-CODE GO TO VALIDATE-INPUT-CI-EXIT,,FALSE,1,3,3,3
579,579,82eb55d75fa617360118a9feac74c13c279a8f126a3c173d3750efd56a55a4b8,IF,WS-OUT-DATA-LENGTH = LENGTH OF WS-ASSOC-DATA,DISPLAY <S> PERFORM 6100-PASSED,DISPLAY <S> DISPLAY <S> WS-OUT-DATA-LENGTH DISPLAY <S> LENGTH OF WS-ASSOC-DATA PERFORM 6100-FAILED,TRUE,2,2,2,2
580,580,48366bc2380de4c4026d0d87a05a11c805f40203e7170fd5415ce2a4fc50f7c2,IF,EB1 = EH1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
581,581,9bc12027aff993b696cb72351a764cc431eeedf830583cd3b66759393cd02dea,IF,WS-DECIMAL-<SPACE> > <N>,COMPUTE WS-END-<SPACE> = WS-DECIMAL-<SPACE> - <N>,,FALSE,2,1,1,1
582,582,4ddc0bec2428f10fbbe4447cfbf06317c08181b9d74d6b30e94434a7e5e16d98,IF,Z3 = F1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
583,583,6e51ad398ba55d95b363c1bd14daae2a9d97bc4262776fcb8e9eb2e69def9327,IF,END-OF-MONTH,PERFORM 7000-PRINT-REGION-REPORT UNTIL REGION-SUB > <N>,,FALSE,4,1,1,1
584,584,af08e52ef48618fdd60069b90154c09d3f3899f14ca98bc763de82ea3292c279,IF,LB3 = DD1,PERFORM G,PERFORM B,TRUE,6,1,1,1
585,585,e8331e3958dc0d2d137d63efc0a2c833ebe0760d9e0c822029a0e5ad6c2e4e11,IF,ITM-MENU-NAME = WS-MENU-NAME,MOVE ITM-NUMBER TO LS-ITEM-NAME INITIALIZE LS-ITEM-DESCRIPTION MOVE <ZERO> TO WS-X INSPECT ITM-ITEM-NAME TALLYING WS-X FOR CHARACTERS BEFORE <S>,,FALSE,1,1,1,1
586,586,9eae9658befb407376a6efebe839f797e7ec03b700fe34b6d7500f26d9b8892f,IF,SQLCODE = <ZERO>,MOVE <S> TO WC-PRINTSCR-STRING CALL <S> USING WC-PRINTSCR-STRING,PERFORM Z0100-ERROR-ROUTINE,TRUE,1,1,1,1
587,587,27f6b9e449c3b958e92f05e304b44c9f808ea8e42121c8fb70e89113c5b5e369,IF,RETURN-CODE NOT = NC-RET-OK,DISPLAY <S> WS-COMP-1-ITEM,,FALSE,1,2,2,2
588,588,b082508a9a3d1ffb787a972350c3348643aad2415cd8fd91a9ac7081e6ee2e6b,EVALUATE,EIBAID = DFHPF3 OR DFHPF12,EXEC_BLOCK_STUB EXEC_BLOCK_STUB EXEC_BLOCK_STUB,,FALSE,4,2,2,2
589,589,172b1c043b5f151cf60cf6936adf6039655a2549f473a76bed9068ce0f11dfaf,EVALUATE,ENP1OPTO = <S>,MOVE <S> TO CA-REQUEST-ID MOVE ENP1CNOO TO CA-CUSTOMER-NUM MOVE ENP1PNOO TO CA-POLICY-NUM EXEC_BLOCK_STUB IF CA-RETURN-CODE > <N> GO TO NO-DATA END-IF MOVE CA-ISSUE-DATE TO ENP1IDAI MOVE CA-EXPIRY-DATE TO ENP1EDAI MOVE CA-M-MAKE TO ENP1CMKI MOVE CA-M-MODEL TO ENP1CMOI MOVE CA-M-VALUE TO ENP1VALI MOVE CA-M-REGNUMBER TO ENP1REGI MOVE CA-M-COLOUR TO ENP1COLI MOVE CA-M-CC TO ENP1CCI MOVE CA-M-MANUFACTURED TO ENP1MANI MOVE CA-M-PREMIUM TO ENP1PREI MOVE CA-M-ACCIDENTS TO ENP1ACCI EXEC_BLOCK_STUB GO TO ENDIT-STARTIT,,FALSE,1,6,6,6
590,590,c0abaea957f262172b0b1a4b44ab147d046b3f23b5f46f37ec574388ecf99f0d,IF,FS-HASH-OK,CONTINUE,DISPLAY <S> LS-FILE-NAME DISPLAY <S> FS-HASH STOP RUN,TRUE,2,1,1,1
591,591,099ab2ae27725f71aa41d87abc6c8074a4643730f6fd1d8afcbe8943ef4e7295,IF,NB-TEST-ERROR > <N> OR NB-TEST-FAILED > <N>,DISPLAY <S>,DISPLAY <S>,TRUE,1,2,2,2
592,617,4bdcf24e202951d71664e29505a622a9fa9fda3c135d12427f1b39987ec140c4,IF,QW = <N>,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
593,618,243ac36d753549878f623aba7adbf80c5a59cbb9b6cd621bc93734ed74cb4d8c,IF,ID-X = <S>,GO TO FLYTT-DATO,,FALSE,1,1,1,1
594,592,a7e70967e7dd075138e8daae9f18a1aade9bbf58f887c74217116e6b56d007a6,EVALUATE,HTTP-VERB = <S>,MOVE <S> TO SVC-RESP-TYPE MOVE SVC-RQST-DATA TO SVC-RESP-DATA MOVE SVC-RQST-DATA TO STOR-DATA MOVE <S> TO SVC-RESP-MESSAGE DISPLAY <S> DISPLAY <S> SVC-RESP-MESSAGE DISPLAY <S> DISPLAY <S> SVC-RESP-EMPID DISPLAY <S> SVC-RESP-EMPNAME DISPLAY <S> SVC-RESP-EMAIL DISPLAY <S> SVC-RESP-PHONE DISPLAY <S> SVC-RESP-REMARKS,,FALSE,1,5,5,5
595,593,129ee7e2206d4d9454fdab026bd9c3a9284e773dc6724b73a69f2c5729c38bd2,IF,F3 = Q1,PERFORM G,PERFORM B,TRUE,6,1,1,1
596,594,ec8bd2c1b8f89efdd00b96a4871888457311c6121b021171dd113a6ac454d4c7,IF,COTISNB-BNBCAA > W-LIMBASCAAA-N,CONTINUE,MOVE W-DFIXCAAA-N TO COTISNB-DFIXCAA,TRUE,1,1,1,1
597,595,9b6d5779c9de04802852ee2b90a8e23b31bb2f51c9990a27ea8401ae07c29956,IF,G1 = P1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
598,596,057dff429f6f879e30b461827284884c6ec5ef5fc96e133819810c777ed5ba5e,IF,ASCII-LOWT,MOVE <N> TO CHAR-CODE,IF ASCII-LOWU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PIPE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-TLDE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DEL THEN MOVE <N> TO CHAR-CODE ELSE MOVE COBOL-STRING TO CHAR-CODE,TRUE,1,5,5,5
599,597,7d5772943d6d72d1ceb52351fee16eb3bb106e383c52d13a1baabaa2644ad177,EVALUATE,CA-FREQUENCY = <N>,MOVE <N> TO WS-START-NUM-TIME PERFORM INSERT-PRESCRIPTION,,FALSE,1,1,1,1
600,598,12c745fc9c9dc43c78acc44aa8ebe136c28741ee2fd74cb1f063d965a1402fac,IF,PLAYER-HAND > MAX-CARD,MOVE PLAYER-HAND TO MAX-CARD MOVE I TO IDX-MAX-CARD,,FALSE,1,1,1,1
601,599,75b5f00ac455f8a8e940eeb5a5e5df411a59baf171edbe40cf6b9be959676446,IF,WC-POST-VALUE = <SPACE>,MOVE <S> TO WC-PRINTSCR-STRING CALL <S> USING WC-PRINTSCR-STRING MOVE <S> TO IS-VALID-INIT-SWITCH,MOVE FUNCTION NUMVAL TO WN-GRADE-COURSE-ID,TRUE,1,2,2,2
602,600,c72a917ebb6eaf64e8c4b566d6097825af32ae8c07d7dbba9cbc73cd8ca2c2c4,IF,LH3 = DH1,PERFORM G,PERFORM B,TRUE,6,1,1,1
603,601,ef2822a930c148d527ca0b57870d339787d7abfa856b335d1da449042b80777a,IF,TESTINDEX > <N>,MOVE <N> TO TESTINDEX,,FALSE,1,1,1,1
604,602,ba9aae9070ec8acf066ccc78e49c29da44eddea1adec90201df43afaa8391f15,IF,CA-LOCAL-BUILD = <S>,PERFORM 2000-PROCESS-MAKE-BROWSE,PERFORM 0000-PROCESS-MAKE-BROWSE,TRUE,1,1,1,1
605,603,163cefc8170052f4b3e5a46f02922e2a0ace3b2d89b045f0c91a27b5a1caf2e4,IF,LB3 = DD1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
606,604,1b54b266c2e961f52f7f14af91feb782832cfb291dbdaffbb84cd20e111daaa0,IF,ASCII-LCRB,MOVE <N> TO CHAR-CODE,IF ASCII-PIPE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-TLDE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DEL THEN MOVE <N> TO CHAR-CODE ELSE MOVE COBOL-STRING TO CHAR-CODE,TRUE,1,2,2,2
607,605,44bfb1d3ae9524d650dd2792dd21e5ab4ae92fe6ba02032bf8ca7eef70baffd3,IF,LOOPCTRL NOT = <N>,GO TO RSBRLP1,,FALSE,2,2,2,2
608,606,5760e18dbaa3b8369867893fcd5d84d6fa1610e67d77e124baeafae447219b96,IF,CMD-OPT-D,SET OPT-VALID TO TRUE SET OPT-D TO TRUE PERFORM 7100-GET-ARG IF CMD-EOF OR CMD-ARGUMENT = <SPACE> THEN MOVE <SPACE> TO OPT-D-ARG SET OPT-ARG-INVALID TO TRUE ELSE MOVE CMD-ARGUMENT TO OPT-D-ARG END-IF,,FALSE,1,2,2,2
609,607,d707321af1c304a5f504de9b895d7bb58a0848ed4db8603f998fb3ecaa7714b8,IF,FLT-SRT = <ZERO>,PERFORM GOOD,PERFORM BAD,TRUE,12,1,1,1
610,608,a617b12141c770d3c97116c0e3b561841052bdc793367f78a63c9fa829d1a074,IF,ZC-KEY = LOW-VALUES,PERFORM 1100-CONTROL THRU 1100-EXIT,,FALSE,1,1,1,1
611,609,1bb010185332009708c02b7afa77e7e9989ad5bf0307e291c100c7e56565cf2a,EVALUATE,ENP4OPTO = <S>,MOVE <S> TO CA-REQUEST-ID MOVE ENP4CNOO TO CA-CUSTOMER-NUM MOVE ENP4IDAO TO CA-ISSUE-DATE MOVE ENP4EDAO TO CA-EXPIRY-DATE MOVE ENP4ADDO TO CA-B-ADDRESS MOVE ENP4HPCO TO CA-B-POSTCODE MOVE ENP4LATO TO CA-B-LATITUDE MOVE ENP4LONO TO CA-B-LONGITUDE MOVE ENP4CUSO TO CA-B-CUSTOMER MOVE ENP4PTYO TO CA-B-PROPTYPE MOVE ENP4FPEO TO CA-B-FIREPERIL MOVE ENP4FPRO TO CA-B-FIREPREMIUM MOVE ENP4CPEO TO CA-B-CRIMEPERIL MOVE ENP4CPRO TO CA-B-CRIMEPREMIUM MOVE ENP4XPEO TO CA-B-FLOODPERIL MOVE ENP4XPRO TO CA-B-FLOODPREMIUM MOVE ENP4WPEO TO CA-B-WEATHERPERIL MOVE ENP4WPRO TO CA-B-WEATHERPREMIUM MOVE ENP4STAO TO CA-B-STATUS MOVE ENP4REJO TO CA-B-REJECTREASON EXEC_BLOCK_STUB IF CA-RETURN-CODE > <N> EXEC_BLOCK_STUB GO TO NO-ADD END-IF MOVE CA-CUSTOMER-NUM TO ENP4CNOI MOVE CA-POLICY-NUM TO ENP4PNOI MOVE <S> TO ENP4OPTI MOVE <S> TO ERP4FLDO EXEC_BLOCK_STUB GO TO ENDIT-STARTIT,,FALSE,1,10,10,10
612,610,083c5c0c2d1de99787b099f63d6b53b22ab7fe6417c094f48dd8d4a86199912e,EVALUATE,OTHER,GO TO GET-CUST-SSN-ERROR,,FALSE,5,1,1,1
613,611,39bf2995fa27e31fe77bdcd89f529f48290fccfd7369a6524108402c606ace6a,EVALUATE,RESP-CODE = DFHRESP,GO TO WBGSTMT-TERMERR-RECV,,FALSE,1,1,1,1
614,612,1fb881749e7f97a4a6d4e76355392226170622efac74d90fdc66d90f3aa22f89,IF,FHSEP NOT = <SPACE>,GO TO NOTADJC,,FALSE,3,2,2,2
615,613,1aba97f47f5992ea5bc0d09fae2e599cc76c5b43cfaa386f091a0d1e6bf03673,IF,SQLCODE = <N>,ADD WS-CA-HEADERTRAILER-LEN TO WS-REQUIRED-CA-LEN ADD WS-FULL-COMM-LEN TO WS-REQUIRED-CA-LEN IF EIBCALEN IS LESS THAN WS-REQUIRED-CA-LEN MOVE <S> TO CA-RETURN-CODE EXEC_BLOCK_STUB ELSE MOVE DB2-CUSTOMERNUM-INT TO CA-CUSTOMER-NUM MOVE DB2-B-FIREPERIL-INT TO DB2-B-FIREPERIL MOVE DB2-B-FIREPREMIUM-INT TO DB2-B-FIREPREMIUM MOVE DB2-B-CRIMEPERIL-INT TO DB2-B-CRIMEPERIL MOVE DB2-B-CRIMEPREMIUM-INT TO DB2-B-CRIMEPREMIUM MOVE DB2-B-FLOODPERIL-INT TO DB2-B-FLOODPERIL MOVE DB2-B-FLOODPREMIUM-INT TO DB2-B-FLOODPREMIUM MOVE DB2-B-WEATHERPERIL-INT TO DB2-B-WEATHERPERIL MOVE DB2-B-WEATHERPREMIUM-INT TO DB2-B-WEATHERPREMIUM MOVE DB2-B-STATUS-INT TO DB2-B-STATUS MOVE DB2-POLICY-COMMON TO CA-POLICY-COMMON MOVE DB2-COMMERCIAL TO CA-COMMERCIAL END-IF MOVE <S> TO CA-B-FILLER,IF SQLCODE EQUAL <N> MOVE <S> TO CA-RETURN-CODE ELSE MOVE <S> TO CA-RETURN-CODE PERFORM WRITE-ERROR-MESSAGE END-IF,TRUE,1,7,7,7
616,614,71266e81eeb685ff8adb52a40308374dae357afba1a439a10b9555b3ca65aa3f,IF,WN-RTN-CODE = <ZERO>,MOVE WC-POST-VALUE TO WC-USER-PHONENUMBER SET IS-VALID-INIT TO TRUE,,FALSE,3,1,1,1
617,615,6f9c28be330b059c423d61a8367f0233361cde5f78878c49b244d5efeda98565,EVALUATE,FS-OUT-EOF,SET SW-OUT-EOF-T TO TRUE,,FALSE,1,1,1,1
618,616,0e8e2fe63c8ca5d4bf6f4291fa3fa73c027544d402698fc434edd182ea5ed6af,EVALUATE,OTHER,MOVE EC-INVALID-ACCT TO OA-STATUS-CODE MOVE <N> TO RET-CODE GO TO GET-XFER-ACCT-EXIT,,FALSE,1,1,1,1
619,619,6357f6016ff5be3cf3ec8a35e156c0e164f284f8d0eec15c9014d8e67f16d64c,IF,PARM = <S>,CALL <S> USING COMNONBA-DAN COMNONBA-AC3DIR COMNONBA-CCOCOM COMNONBA-CCOIFP COMNONBA-CCPPER CR RC ZES ON EXCEPTION MOVE <N> TO CR MOVE <N> TO RC END-CALL,CALL <S> USING COMNONBA-DAN COMNONBA-AC3DIR COMNONBA-CCOCOM COMNONBA-CCOIFP CR RC ZES ON EXCEPTION MOVE <N> TO CR MOVE <N> TO RC END-CALL MOVE ZESTAUX TO TAU-R-ROL1 MOVE TAU-R1-TAUTSE-NB TO TAU-R1-TAUTSE-NB MOVE TAU-R1-PNBTGP TO TAU-R1-PNBTGP MOVE TAU-R-ROL1 TO ZESTAUX,TRUE,1,4,4,4
620,620,9079dd26ed1f0c20aee7f6d184d7e6da9dcae2fbd72507c01dd546c9b78acdc3,EVALUATE,RESP-CODE = DFHRESP,GO TO WBVALUSR-EOC,,FALSE,1,1,1,1
621,621,e06a8aa441d37cd1420748979863dcee37506581fe0fb6f6130708cefd377a9a,IF,EIBRESP = DFHRESP,MOVE ZK-ZF-KEY TO INTERNAL-KEY MOVE <S> TO PROCESS-COMPLETE MOVE <S> TO ZF-SUCCESSFUL PERFORM 3510-FREEMAIN THRU 3510-EXIT,,FALSE,1,2,2,2
622,622,e788b1e674602e87a34089cbecef381e1e26e98f6f6e8e6d5f3ee3f49609a791,EVALUATE,RESP-CODE = DFHRESP,GO TO GET-CUST-LIST-ENDFILE-SB,,FALSE,1,1,1,1
623,623,546f7dc1d5c0c015023d5ff5c54ebc63d237e65eb182a7263ca24a051faeab74,EVALUATE,CA-RETURN-CODE = <N>,MOVE <S> TO HCMAMSGO GO TO ERROR-OUT,,FALSE,1,1,1,1
